language,sent_index,baseline,length,real_dl,real_ic,delta_used,n_dl_matched,p_ic_given_dl
English,0,projective_like,12,31,7,0,277,0.35379061371841153
English,1,projective_like,12,25,4,0,187,0.8556149732620321
English,3,projective_like,12,29,5,0,304,0.7072368421052632
English,4,projective_like,12,31,4,0,250,0.944
English,5,projective_like,12,25,4,0,305,0.8721311475409836
English,6,projective_like,12,28,4,0,301,0.717607973421927
English,9,projective_like,12,28,7,0,483,0.6004140786749482
English,10,projective_like,12,30,4,0,281,0.7224199288256228
English,11,projective_like,12,32,6,0,190,0.32105263157894737
English,12,projective_like,12,31,5,0,200,0.64
English,13,projective_like,12,26,3,0,221,0.37104072398190047
English,14,projective_like,12,26,5,0,390,0.5794871794871795
English,15,projective_like,12,23,3,0,131,0.7938931297709924
English,16,projective_like,12,25,4,0,334,0.9221556886227545
English,18,projective_like,12,28,4,0,245,0.8163265306122449
English,19,projective_like,12,19,5,0,93,1.0
English,20,projective_like,12,32,8,0,203,0.5812807881773399
English,21,projective_like,12,25,3,0,403,0.7667493796526055
English,22,projective_like,12,29,3,0,353,0.5524079320113314
English,23,projective_like,12,44,4,0,96,0.7083333333333334
English,24,projective_like,12,29,10,0,340,0.6794117647058824
English,25,projective_like,12,24,5,0,241,0.941908713692946
English,26,projective_like,12,29,5,0,275,0.2
English,27,projective_like,12,35,6,0,209,0.7464114832535885
English,28,projective_like,12,26,7,0,426,0.7112676056338029
English,29,projective_like,12,28,7,0,402,0.7810945273631841
English,30,projective_like,12,23,3,0,356,0.8061797752808989
English,31,projective_like,12,27,4,0,268,0.8208955223880597
English,32,projective_like,12,24,4,0,222,0.6396396396396397
English,33,projective_like,12,25,3,0,197,0.7309644670050761
English,34,projective_like,12,43,28,1,147,1.0
English,35,projective_like,12,33,11,0,196,0.8877551020408163
English,36,projective_like,12,21,2,0,281,0.7224199288256228
English,37,projective_like,12,31,7,0,277,0.9783393501805054
English,38,projective_like,12,27,7,0,325,0.8953846153846153
English,39,projective_like,12,25,7,0,469,0.9722814498933902
English,40,projective_like,12,27,5,0,287,0.9616724738675958
English,41,projective_like,12,29,3,0,267,0.7228464419475655
English,42,projective_like,12,23,1,0,119,0.2773109243697479
English,44,projective_like,12,33,6,0,95,0.968421052631579
English,45,projective_like,12,27,4,0,137,0.9708029197080292
English,46,projective_like,12,30,6,0,247,0.14979757085020243
English,47,projective_like,12,29,7,0,295,0.9864406779661017
English,48,projective_like,12,24,2,0,165,0.6424242424242425
English,49,projective_like,12,29,12,0,353,0.9830028328611898
Hindi,0,projective_like,12,22,5,0,286,0.9825174825174825
Hindi,1,projective_like,12,22,4,0,234,0.9871794871794872
Hindi,2,projective_like,12,24,4,0,341,0.8093841642228738
Hindi,3,projective_like,12,15,3,2,80,0.9875
Hindi,5,projective_like,12,17,2,1,226,0.9734513274336283
Hindi,6,projective_like,12,20,3,0,178,0.9550561797752809
Hindi,7,projective_like,12,20,3,0,147,0.9047619047619048
Hindi,8,projective_like,12,18,3,0,127,1.0
Hindi,9,projective_like,12,30,7,0,328,0.9969512195121951
Hindi,10,projective_like,12,17,2,1,170,0.9529411764705882
Hindi,11,projective_like,12,19,4,1,254,0.905511811023622
Hindi,12,projective_like,12,23,4,0,333,0.8618618618618619
Hindi,13,projective_like,12,22,2,0,203,0.9064039408866995
Hindi,14,projective_like,12,16,3,1,108,1.0
Hindi,15,projective_like,12,23,3,0,370,0.5027027027027027
Hindi,17,projective_like,12,38,6,0,199,0.7035175879396985
Hindi,18,projective_like,12,31,10,0,273,0.9816849816849816
Hindi,19,projective_like,12,25,6,0,367,0.9809264305177112
Hindi,20,projective_like,12,23,4,0,252,0.9047619047619048
Hindi,21,projective_like,12,33,7,0,162,0.7407407407407407
Hindi,22,projective_like,12,34,7,0,147,0.9455782312925171
Hindi,23,projective_like,12,23,7,0,308,0.9902597402597403
Hindi,24,projective_like,12,24,4,0,186,0.967741935483871
Hindi,25,projective_like,12,17,3,1,153,0.9607843137254902
Hindi,26,projective_like,12,44,5,1,93,1.0
Hindi,31,projective_like,12,28,6,0,348,0.8591954022988506
Hindi,32,projective_like,12,17,2,1,156,0.9743589743589743
Hindi,33,projective_like,12,22,4,0,216,0.8703703703703703
Hindi,34,projective_like,12,32,4,0,197,0.8426395939086294
Hindi,35,projective_like,12,28,7,0,346,0.9913294797687862
Hindi,36,projective_like,12,20,2,0,82,0.9390243902439024
Hindi,38,projective_like,12,20,3,0,154,0.961038961038961
Hindi,39,projective_like,12,20,5,0,223,1.0
Hindi,42,projective_like,12,19,2,0,129,0.9612403100775194
Hindi,44,projective_like,12,18,4,1,170,0.9941176470588236
Hindi,46,projective_like,12,32,2,0,265,0.7773584905660378
Hindi,47,projective_like,12,38,7,0,188,0.898936170212766
Hindi,48,projective_like,12,19,5,0,130,1.0
Japanese,0,projective_like,12,12,1,5,112,0.9107142857142857
Japanese,1,projective_like,12,28,16,0,459,0.9455337690631809
Japanese,2,projective_like,12,39,24,1,296,1.0
Japanese,3,projective_like,12,19,2,0,90,0.9666666666666667
Japanese,4,projective_like,12,16,1,1,100,0.74
Japanese,5,projective_like,12,21,2,0,176,0.9772727272727273
Japanese,6,projective_like,12,33,10,0,226,0.995575221238938
Japanese,7,projective_like,12,18,5,1,206,1.0
Japanese,8,projective_like,12,13,1,4,81,0.691358024691358
Japanese,9,projective_like,12,17,3,0,96,1.0
Japanese,10,projective_like,12,17,2,0,99,1.0
Japanese,12,projective_like,12,16,1,2,156,0.9166666666666666
Japanese,13,projective_like,12,24,5,0,226,0.9734513274336283
Japanese,14,projective_like,12,19,2,1,184,0.7608695652173914
Japanese,15,projective_like,12,15,1,1,98,0.7142857142857143
Japanese,17,projective_like,12,17,3,1,149,1.0
Japanese,18,projective_like,12,16,2,1,214,1.0
Japanese,19,projective_like,12,20,4,0,152,0.9736842105263158
Japanese,21,projective_like,12,14,1,3,146,0.9383561643835616
Japanese,22,projective_like,12,33,22,0,911,1.0
Japanese,23,projective_like,12,19,3,0,143,1.0
Japanese,24,projective_like,12,21,2,0,308,0.8474025974025974
Japanese,26,projective_like,12,23,5,0,216,0.9861111111111112
Japanese,27,projective_like,12,19,2,0,147,0.8095238095238095
Japanese,29,projective_like,12,17,4,1,135,1.0
Japanese,30,projective_like,12,14,1,3,125,0.784
Japanese,31,projective_like,12,16,3,1,116,0.9741379310344828
Japanese,33,projective_like,12,17,2,0,120,0.8916666666666667
Japanese,34,projective_like,12,15,1,1,93,1.0
Japanese,36,projective_like,12,20,7,0,215,0.9674418604651163
Japanese,37,projective_like,12,15,3,2,147,0.9931972789115646
Japanese,38,projective_like,12,25,4,0,349,0.9025787965616046
Japanese,39,projective_like,12,14,1,2,81,0.6790123456790124
Japanese,40,projective_like,12,17,3,0,80,0.975
Japanese,41,projective_like,12,28,3,0,218,0.944954128440367
Japanese,42,projective_like,12,16,3,1,146,0.9726027397260274
Japanese,44,projective_like,12,33,17,0,361,1.0
Japanese,46,projective_like,12,16,5,2,151,1.0
Japanese,47,projective_like,12,17,5,1,155,1.0
Japanese,48,projective_like,12,26,4,0,237,0.810126582278481
Japanese,49,projective_like,12,11,0,6,84,0.7976190476190477
