language,sent_index,baseline,ic_metric,ic_objective,length,real_dl,real_ic,delta_used,n_dl_matched,p_good,frac_lt,frac_eq,frac_gt,matched_ic_mean,matched_ic_median,diff_real_minus_matched_mean
English,0,projective_like,content,max,12,31,8.0,0,277,0.7906137184115524,0.7906137184115524,0.20938628158844766,0.0,6.296028880866426,7.0,1.7039711191335742
English,1,projective_like,content,max,12,25,6.0,0,187,0.13903743315508021,0.13903743315508021,0.5294117647058824,0.3315508021390374,6.219251336898396,6.0,-0.21925133689839615
English,3,projective_like,content,max,12,29,7.0,0,304,0.23355263157894737,0.23355263157894737,0.42105263157894735,0.34539473684210525,7.108552631578948,7.0,-0.10855263157894779
English,4,projective_like,content,max,12,31,7.0,0,250,0.032,0.032,0.288,0.68,7.848,8.0,-0.8479999999999999
English,5,projective_like,content,max,12,25,5.0,0,305,0.10163934426229508,0.10163934426229508,0.2786885245901639,0.6196721311475409,5.822950819672132,6.0,-0.8229508196721316
English,6,projective_like,content,max,12,28,13.0,0,301,0.3488372093023256,0.3488372093023256,0.29900332225913623,0.3521594684385382,12.93687707641196,13.0,0.06312292358803973
English,9,projective_like,content,max,12,28,10.0,0,483,0.865424430641822,0.865424430641822,0.11180124223602485,0.022774327122153208,7.921325051759834,8.0,2.078674948240166
English,10,projective_like,content,max,12,30,17.0,0,281,0.7402135231316725,0.7402135231316725,0.2277580071174377,0.03202846975088968,15.718861209964412,16.0,1.2811387900355875
English,11,projective_like,content,max,12,32,13.0,0,190,0.6842105263157895,0.6842105263157895,0.2,0.11578947368421053,11.83157894736842,12.0,1.1684210526315795
English,12,projective_like,content,max,12,31,11.0,0,200,0.51,0.51,0.26,0.23,10.455,10.0,0.5449999999999999
English,13,projective_like,content,max,12,26,5.0,0,221,0.19004524886877827,0.19004524886877827,0.40271493212669685,0.4072398190045249,5.266968325791855,5.0,-0.26696832579185514
English,14,projective_like,content,max,12,26,10.0,0,390,0.6948717948717948,0.6948717948717948,0.18974358974358974,0.11538461538461539,8.687179487179487,9.0,1.3128205128205135
English,15,projective_like,content,max,12,23,8.0,0,131,0.8854961832061069,0.8854961832061069,0.11450381679389313,0.0,6.061068702290076,6.0,1.9389312977099236
English,16,projective_like,content,max,12,25,4.0,0,334,0.005988023952095809,0.005988023952095809,0.12874251497005987,0.8652694610778443,5.57185628742515,5.0,-1.5718562874251498
English,18,projective_like,content,max,12,28,8.0,0,245,0.2816326530612245,0.2816326530612245,0.2693877551020408,0.4489795918367347,8.17142857142857,8.0,-0.17142857142857082
English,19,projective_like,content,max,12,19,5.0,0,93,0.2903225806451613,0.2903225806451613,0.40860215053763443,0.3010752688172043,4.946236559139785,5.0,0.053763440860215006
English,20,projective_like,content,max,12,32,15.0,0,203,0.9064039408866995,0.9064039408866995,0.04926108374384237,0.04433497536945813,11.704433497536947,11.0,3.2955665024630534
English,21,projective_like,content,max,12,25,8.0,0,403,0.08436724565756824,0.08436724565756824,0.228287841191067,0.6873449131513648,8.766749379652605,9.0,-0.7667493796526053
English,22,projective_like,content,max,12,29,12.0,0,353,0.45892351274787535,0.45892351274787535,0.3881019830028329,0.1529745042492918,11.61756373937677,12.0,0.3824362606232299
English,23,projective_like,content,max,12,44,25.0,0,96,0.17708333333333334,0.17708333333333334,0.34375,0.4791666666666667,25.354166666666668,25.0,-0.35416666666666785
English,24,projective_like,content,max,12,29,14.0,0,340,0.888235294117647,0.888235294117647,0.11176470588235295,0.0,11.097058823529412,11.0,2.9029411764705877
English,25,projective_like,content,max,12,24,5.0,0,241,0.11618257261410789,0.11618257261410789,0.34854771784232363,0.5352697095435685,5.564315352697095,6.0,-0.5643153526970952
English,26,projective_like,content,max,12,29,7.0,0,275,0.12,0.12,0.22181818181818183,0.6581818181818182,7.912727272727273,8.0,-0.912727272727273
English,27,projective_like,content,max,12,35,19.0,0,209,0.5550239234449761,0.5550239234449761,0.3827751196172249,0.06220095693779904,18.20095693779904,18.0,0.7990430622009583
English,28,projective_like,content,max,12,26,7.0,0,426,0.40375586854460094,0.40375586854460094,0.2605633802816901,0.33568075117370894,6.791079812206573,7.0,0.20892018779342703
English,29,projective_like,content,max,12,28,9.0,0,402,0.9552238805970149,0.9552238805970149,0.04228855721393035,0.0024875621890547263,6.611940298507463,7.0,2.388059701492537
English,30,projective_like,content,max,12,23,10.0,0,356,0.7162921348314607,0.7162921348314607,0.15168539325842698,0.13202247191011235,8.17134831460674,8.0,1.8286516853932593
English,31,projective_like,content,max,12,27,10.0,0,268,0.9552238805970149,0.9552238805970149,0.04477611940298507,0.0,7.880597014925373,8.0,2.119402985074627
English,32,projective_like,content,max,12,24,5.0,0,222,0.9324324324324325,0.9324324324324325,0.06756756756756757,0.0,3.2477477477477477,3.0,1.7522522522522523
English,33,projective_like,content,max,12,25,6.0,0,197,0.29949238578680204,0.29949238578680204,0.3096446700507614,0.39086294416243655,6.375634517766497,6.0,-0.37563451776649703
