language,sent_index,baseline,length,real_dl,real_ic,delta_used,n_dl_matched,p_ic_given_dl
English,0,uniform,12,31,7,2,142,0.31690140845070425
English,1,uniform,12,25,4,6,90,0.7444444444444445
English,3,uniform,12,29,5,2,80,0.85
English,4,uniform,12,31,4,1,86,0.9302325581395349
English,5,uniform,12,25,4,7,106,0.8113207547169812
English,6,uniform,12,28,4,3,81,0.7777777777777778
English,9,uniform,12,28,7,4,139,0.6546762589928058
English,10,uniform,12,30,4,2,104,0.8076923076923077
English,11,uniform,12,32,6,1,120,0.7416666666666667
English,12,uniform,12,31,5,1,86,0.9069767441860465
English,13,uniform,12,26,3,5,99,0.5454545454545454
English,14,uniform,12,26,5,6,101,0.6336633663366337
English,15,uniform,12,23,3,8,97,0.5257731958762887
English,16,uniform,12,25,4,6,82,0.9634146341463414
English,18,uniform,12,28,4,3,83,0.8313253012048193
English,19,uniform,12,19,5,8,22,0.9545454545454546
English,20,uniform,12,32,8,1,134,0.6791044776119403
English,21,uniform,12,25,3,6,83,0.7469879518072289
English,22,uniform,12,29,3,3,108,0.5648148148148148
English,23,uniform,12,44,4,0,263,0.7718631178707225
English,24,uniform,12,29,10,3,110,0.6727272727272727
English,25,uniform,12,24,5,7,88,0.9090909090909091
English,26,uniform,12,29,5,2,101,0.5445544554455446
English,27,uniform,12,35,6,1,231,0.7532467532467533
English,28,uniform,12,26,7,5,80,0.7125
English,29,uniform,12,28,7,4,121,0.6198347107438017
English,30,uniform,12,23,3,8,100,0.67
English,31,uniform,12,27,4,4,98,0.6632653061224489
English,32,uniform,12,24,4,7,98,0.4387755102040816
English,33,uniform,12,25,3,6,81,0.5802469135802469
English,34,uniform,12,43,28,0,287,1.0
English,35,uniform,12,33,11,1,171,0.9707602339181286
English,36,uniform,12,21,2,8,42,0.6904761904761905
English,37,uniform,12,31,7,2,123,0.975609756097561
English,38,uniform,12,27,7,5,114,0.9473684210526315
English,39,uniform,12,25,7,6,97,0.9587628865979382
English,40,uniform,12,27,5,4,80,0.8875
English,41,uniform,12,29,3,2,85,0.6470588235294118
English,42,uniform,12,23,1,8,77,0.09090909090909091
English,44,uniform,12,33,6,1,145,0.9586206896551724
English,45,uniform,12,27,4,4,96,0.90625
English,46,uniform,12,30,6,2,123,0.4146341463414634
English,47,uniform,12,29,7,2,88,0.9772727272727273
English,48,uniform,12,24,2,7,82,0.6951219512195121
English,49,uniform,12,29,12,3,86,0.9534883720930233
Hindi,0,uniform,12,17,3,8,6,1.0
Hindi,2,uniform,12,25,5,6,91,0.7912087912087912
Hindi,3,uniform,12,32,8,1,101,0.8811881188118812
Hindi,6,uniform,12,17,4,8,8,0.875
Hindi,7,uniform,12,17,4,8,6,1.0
Hindi,12,uniform,12,30,4,2,134,0.9626865671641791
Hindi,13,uniform,12,28,6,4,104,0.9615384615384616
Hindi,17,uniform,12,23,4,8,102,0.9509803921568627
Hindi,18,uniform,12,30,7,2,105,0.9714285714285714
Hindi,22,uniform,12,21,3,8,45,0.9111111111111111
Hindi,25,uniform,12,23,4,8,90,0.7333333333333333
Hindi,29,uniform,12,22,4,8,51,0.9607843137254902
Hindi,30,uniform,12,25,7,6,91,0.9560439560439561
Hindi,31,uniform,12,35,2,0,92,0.5652173913043478
Hindi,32,uniform,12,26,7,5,82,0.926829268292683
Hindi,33,uniform,12,23,3,8,94,0.723404255319149
Hindi,34,uniform,12,35,10,0,83,0.9879518072289156
Hindi,36,uniform,12,20,2,8,22,0.8181818181818182
Hindi,38,uniform,12,22,2,8,76,0.7763157894736842
Hindi,41,uniform,12,27,8,4,91,0.9010989010989011
Hindi,42,uniform,12,26,2,5,96,0.4583333333333333
Hindi,43,uniform,12,26,4,6,107,0.9532710280373832
Hindi,44,uniform,12,18,4,8,16,1.0
Hindi,45,uniform,12,24,5,7,81,0.6172839506172839
Hindi,46,uniform,12,25,3,6,92,0.782608695652174
Hindi,48,uniform,12,27,3,4,94,0.7340425531914894
Japanese,0,uniform,12,17,4,8,3,1.0
Japanese,1,uniform,12,18,1,8,7,0.8571428571428571
Japanese,2,uniform,12,22,3,8,55,0.7636363636363637
Japanese,3,uniform,12,30,6,2,104,0.8461538461538461
Japanese,4,uniform,12,12,1,8,0,nan
Japanese,5,uniform,12,19,5,8,20,0.95
Japanese,6,uniform,12,14,1,8,1,1.0
Japanese,7,uniform,12,38,27,0,818,1.0
Japanese,9,uniform,12,15,2,8,4,1.0
Japanese,10,uniform,12,17,3,8,5,0.6
Japanese,11,uniform,12,23,7,8,99,0.9191919191919192
Japanese,12,uniform,12,19,3,8,18,0.9444444444444444
Japanese,13,uniform,12,14,1,8,4,0.75
Japanese,14,uniform,12,13,1,8,0,nan
Japanese,15,uniform,12,21,2,8,44,0.8409090909090909
Japanese,16,uniform,12,18,1,8,9,0.8888888888888888
Japanese,17,uniform,12,18,2,8,11,0.7272727272727273
Japanese,18,uniform,12,17,2,8,7,0.8571428571428571
Japanese,19,uniform,12,14,3,8,0,nan
Japanese,20,uniform,12,28,4,3,82,0.9146341463414634
Japanese,21,uniform,12,28,5,3,84,1.0
Japanese,22,uniform,12,23,11,8,76,1.0
Japanese,23,uniform,12,13,1,8,0,nan
Japanese,24,uniform,12,23,5,8,92,0.9565217391304348
Japanese,25,uniform,12,16,1,8,1,0.0
Japanese,26,uniform,12,28,16,4,91,0.978021978021978
Japanese,27,uniform,12,19,2,8,17,0.6470588235294118
Japanese,28,uniform,12,16,1,8,5,0.6
Japanese,29,uniform,12,21,2,8,36,0.6666666666666666
Japanese,30,uniform,12,23,7,8,86,0.9534883720930233
Japanese,31,uniform,12,16,2,8,3,1.0
Japanese,33,uniform,12,27,3,5,118,0.923728813559322
Japanese,35,uniform,12,18,3,8,15,1.0
Japanese,36,uniform,12,14,2,8,2,0.5
Japanese,37,uniform,12,12,0,8,0,nan
Japanese,38,uniform,12,22,6,8,61,0.9344262295081968
Japanese,39,uniform,12,14,1,8,1,1.0
Japanese,41,uniform,12,21,3,8,39,0.6666666666666666
Japanese,42,uniform,12,22,2,8,53,0.6226415094339622
Japanese,43,uniform,12,18,7,8,11,0.9090909090909091
Japanese,44,uniform,12,28,16,4,97,0.9896907216494846
Japanese,45,uniform,12,19,2,8,23,1.0
Japanese,46,uniform,12,23,2,8,92,0.8586956521739131
Japanese,48,uniform,12,25,5,6,86,0.7209302325581395
Japanese,49,uniform,12,15,2,8,1,1.0
