language,sent_index,baseline,ic_metric,length,real_dl,real_ic,delta_used,n_dl_matched,p_ic_given_dl
English,0,projective_like,content,14,45,11.0,0,122,0.7786885245901639
English,1,projective_like,content,14,26,7.0,0,143,0.9370629370629371
English,2,projective_like,content,14,32,5.0,0,377,0.363395225464191
English,3,projective_like,content,14,28,5.0,0,150,0.7333333333333333
English,5,projective_like,content,14,45,17.0,0,142,0.9577464788732394
English,6,projective_like,content,14,36,7.0,0,298,0.697986577181208
English,7,projective_like,content,14,27,6.0,1,200,0.785
English,8,projective_like,content,14,37,15.0,0,203,0.9211822660098522
English,9,projective_like,content,14,34,17.0,0,354,0.9774011299435028
English,10,projective_like,content,14,27,5.0,0,214,0.9112149532710281
English,11,projective_like,content,14,29,7.0,0,148,0.75
English,12,projective_like,content,14,30,8.0,0,125,0.944
English,13,projective_like,content,14,38,15.0,0,231,0.42857142857142855
English,15,projective_like,content,14,37,19.0,0,224,0.9732142857142857
English,16,projective_like,content,14,34,10.0,0,157,0.49044585987261147
English,17,projective_like,content,14,34,12.0,0,198,0.1919191919191919
English,18,projective_like,content,14,46,23.0,1,171,0.9824561403508771
English,19,projective_like,content,14,41,13.0,0,110,0.7909090909090909
English,20,projective_like,content,14,37,11.0,0,158,0.7468354430379747
English,21,projective_like,content,14,35,9.0,0,284,0.9295774647887324
English,23,projective_like,content,14,31,7.0,0,318,0.42452830188679247
English,24,projective_like,content,14,35,10.0,0,211,0.4881516587677725
English,25,projective_like,content,14,37,16.0,0,297,0.9225589225589226
English,26,projective_like,content,14,33,8.0,0,308,0.3961038961038961
English,28,projective_like,content,14,36,7.0,0,192,1.0
English,29,projective_like,content,14,26,10.0,0,145,1.0
English,30,projective_like,content,14,30,6.0,0,276,0.9202898550724637
English,31,projective_like,content,14,34,11.0,0,297,0.8316498316498316
English,32,projective_like,content,14,46,19.0,0,133,0.8646616541353384
English,34,projective_like,content,14,27,9.0,0,130,0.4461538461538462
English,35,projective_like,content,14,27,8.0,1,177,0.12994350282485875
English,36,projective_like,content,14,31,11.0,0,190,0.8315789473684211
English,38,projective_like,content,14,32,6.0,0,272,0.47058823529411764
English,39,projective_like,content,14,31,8.0,0,116,0.9137931034482759
English,40,projective_like,content,14,35,9.0,0,208,0.6826923076923077
English,41,projective_like,content,14,28,6.0,0,147,0.40816326530612246
English,42,projective_like,content,14,30,10.0,0,174,0.8390804597701149
English,43,projective_like,content,14,34,13.0,0,216,0.7546296296296297
English,44,projective_like,content,14,27,3.0,1,185,0.8054054054054054
English,45,projective_like,content,14,37,8.0,0,408,0.41421568627450983
English,46,projective_like,content,14,29,9.0,0,210,0.7619047619047619
English,47,projective_like,content,14,29,6.0,0,205,0.5756097560975609
English,48,projective_like,content,14,34,16.0,0,468,0.938034188034188
English,49,projective_like,content,14,39,13.0,0,169,0.7514792899408284
English,50,projective_like,content,14,31,7.0,0,146,0.3835616438356164
English,51,projective_like,content,14,31,10.0,0,142,0.9788732394366197
English,53,projective_like,content,14,37,12.0,0,304,0.7171052631578947
English,54,projective_like,content,14,35,13.0,0,302,0.9503311258278145
English,55,projective_like,content,14,40,18.0,0,179,0.8994413407821229
English,56,projective_like,content,14,26,7.0,0,135,0.6518518518518519
English,57,projective_like,content,14,36,7.0,0,333,0.5945945945945946
English,58,projective_like,content,14,39,16.0,0,102,0.9509803921568627
English,59,projective_like,content,14,39,19.0,0,179,0.8212290502793296
English,60,projective_like,content,14,28,8.0,0,121,0.48760330578512395
English,61,projective_like,content,14,28,5.0,0,264,0.6401515151515151
English,62,projective_like,content,14,43,17.0,0,221,0.7828054298642534
English,63,projective_like,content,14,29,6.0,0,270,0.2962962962962963
English,64,projective_like,content,14,34,15.0,0,287,0.9790940766550522
English,66,projective_like,content,14,32,10.0,0,113,0.2920353982300885
English,67,projective_like,content,14,28,5.0,0,106,0.24528301886792453
English,68,projective_like,content,14,33,11.0,0,223,0.820627802690583
English,69,projective_like,content,14,35,11.0,0,171,0.7602339181286549
English,71,projective_like,content,14,35,18.0,0,268,0.8917910447761194
English,72,projective_like,content,14,28,4.0,0,87,0.8850574712643678
English,74,projective_like,content,14,37,12.0,0,230,0.5130434782608696
English,76,projective_like,content,14,38,12.0,0,217,0.5023041474654378
English,77,projective_like,content,14,42,21.0,0,160,0.75625
English,78,projective_like,content,14,53,28.0,2,80,0.7125
English,79,projective_like,content,14,30,14.0,0,259,0.9884169884169884
Hindi,1,projective_like,content,14,44,16.0,0,238,0.6092436974789915
Hindi,5,projective_like,content,14,45,21.0,0,124,0.7983870967741935
Hindi,7,projective_like,content,14,35,12.0,0,292,0.5205479452054794
Hindi,8,projective_like,content,14,28,10.0,0,170,0.7294117647058823
Hindi,11,projective_like,content,14,29,11.0,0,157,1.0
Hindi,13,projective_like,content,14,26,9.0,0,164,0.7134146341463414
Hindi,14,projective_like,content,14,23,7.0,1,130,0.8846153846153846
Hindi,18,projective_like,content,14,33,10.0,0,266,0.9661654135338346
Hindi,19,projective_like,content,14,25,11.0,1,157,0.9936305732484076
Hindi,20,projective_like,content,14,39,17.0,0,161,0.9875776397515528
Hindi,21,projective_like,content,14,41,18.0,0,150,0.84
Hindi,22,projective_like,content,14,21,7.0,1,94,0.8936170212765957
Hindi,23,projective_like,content,14,37,19.0,0,245,0.763265306122449
Hindi,25,projective_like,content,14,34,13.0,0,330,0.6333333333333333
Hindi,28,projective_like,content,14,39,21.0,0,210,0.9571428571428572
Hindi,29,projective_like,content,14,38,14.0,0,205,0.25853658536585367
Hindi,32,projective_like,content,14,46,11.0,1,209,0.7799043062200957
Hindi,34,projective_like,content,14,18,2.0,4,103,0.02912621359223301
Hindi,35,projective_like,content,14,23,6.0,0,83,0.7349397590361446
Hindi,36,projective_like,content,14,25,10.0,1,223,0.8654708520179372
Hindi,37,projective_like,content,14,26,9.0,0,168,0.4880952380952381
Hindi,38,projective_like,content,14,23,6.0,1,223,0.5650224215246636
Hindi,40,projective_like,content,14,44,14.0,0,187,1.0
Hindi,41,projective_like,content,14,24,7.0,0,84,0.9523809523809523
Hindi,43,projective_like,content,14,21,6.0,2,144,0.3541666666666667
Hindi,45,projective_like,content,14,21,4.0,2,96,0.4479166666666667
Hindi,46,projective_like,content,14,22,7.0,3,119,0.07563025210084033
Hindi,47,projective_like,content,14,28,10.0,0,231,0.9653679653679653
Hindi,50,projective_like,content,14,29,13.0,0,134,1.0
Hindi,51,projective_like,content,14,25,7.0,0,123,0.7398373983739838
Hindi,52,projective_like,content,14,25,7.0,0,213,0.7746478873239436
Hindi,53,projective_like,content,14,26,6.0,0,82,0.21951219512195122
Hindi,54,projective_like,content,14,40,14.0,0,111,0.9819819819819819
Hindi,55,projective_like,content,14,27,11.0,0,335,0.9940298507462687
Hindi,56,projective_like,content,14,32,6.0,0,370,0.032432432432432434
Hindi,59,projective_like,content,14,44,19.0,0,147,0.1564625850340136
Hindi,61,projective_like,content,14,42,12.0,0,288,0.5243055555555556
Hindi,62,projective_like,content,14,46,16.0,0,137,0.46715328467153283
Hindi,63,projective_like,content,14,49,21.0,1,224,0.9375
