language,length,only_projective,n_used_after_filters,n_kept_with_S_and_O,pattern,count,rate
English,12,True,393,0,SOV,0,nan
English,12,True,393,0,SVO,0,nan
English,12,True,393,0,VSO,0,nan
English,12,True,393,0,VOS,0,nan
English,12,True,393,0,OSV,0,nan
English,12,True,393,0,OVS,0,nan
Hindi,12,True,329,0,SOV,0,nan
Hindi,12,True,329,0,SVO,0,nan
Hindi,12,True,329,0,VSO,0,nan
Hindi,12,True,329,0,VOS,0,nan
Hindi,12,True,329,0,OSV,0,nan
Hindi,12,True,329,0,OVS,0,nan
Japanese,12,True,464,0,SOV,0,nan
Japanese,12,True,464,0,SVO,0,nan
Japanese,12,True,464,0,VSO,0,nan
Japanese,12,True,464,0,VOS,0,nan
Japanese,12,True,464,0,OSV,0,nan
Japanese,12,True,464,0,OVS,0,nan
