language,length,only_projective,n_used_after_filters,n_kept_with_S_and_O,pattern,count,rate
English,12,True,475,124,SOV,0,0.0
English,12,True,475,124,SVO,103,0.8306451612903226
English,12,True,475,124,VSO,18,0.14516129032258066
English,12,True,475,124,VOS,3,0.024193548387096774
English,12,True,475,124,OSV,0,0.0
English,12,True,475,124,OVS,0,0.0
Hindi,12,True,500,17,SOV,11,0.6470588235294118
Hindi,12,True,500,17,SVO,3,0.17647058823529413
Hindi,12,True,500,17,VSO,2,0.11764705882352941
Hindi,12,True,500,17,VOS,0,0.0
Hindi,12,True,500,17,OSV,1,0.058823529411764705
Hindi,12,True,500,17,OVS,0,0.0
Japanese,12,True,500,0,SOV,0,nan
Japanese,12,True,500,0,SVO,0,nan
Japanese,12,True,500,0,VSO,0,nan
Japanese,12,True,500,0,VOS,0,nan
Japanese,12,True,500,0,OSV,0,nan
Japanese,12,True,500,0,OVS,0,nan
