language,sent_index,length,only_projective,pattern
English,7,12,True,SVO
English,10,12,True,SVO
English,12,12,True,SVO
English,13,12,True,SVO
English,20,12,True,SVO
English,23,12,True,VSO
English,26,12,True,VSO
English,27,12,True,VSO
English,29,12,True,VSO
English,31,12,True,SVO
English,34,12,True,SVO
English,35,12,True,SVO
English,39,12,True,VSO
English,40,12,True,VSO
English,47,12,True,SVO
English,62,12,True,SVO
English,63,12,True,SVO
English,64,12,True,SVO
English,66,12,True,SVO
English,71,12,True,SVO
English,73,12,True,SVO
English,89,12,True,SVO
English,94,12,True,SVO
English,95,12,True,SVO
English,96,12,True,SVO
English,116,12,True,VSO
English,127,12,True,SVO
English,135,12,True,SVO
English,156,12,True,SVO
English,168,12,True,SVO
English,169,12,True,SVO
English,172,12,True,SVO
English,178,12,True,SVO
English,179,12,True,SVO
English,181,12,True,SVO
English,182,12,True,SVO
English,184,12,True,SVO
English,186,12,True,SVO
English,188,12,True,SVO
English,192,12,True,VSO
English,207,12,True,SVO
English,208,12,True,SVO
English,210,12,True,SVO
English,211,12,True,SVO
English,212,12,True,SVO
English,213,12,True,VSO
English,214,12,True,SVO
English,231,12,True,VOS
English,239,12,True,VSO
English,249,12,True,SVO
English,257,12,True,SVO
English,258,12,True,SVO
English,260,12,True,SVO
English,262,12,True,SVO
English,264,12,True,SVO
English,265,12,True,SVO
English,267,12,True,SVO
English,270,12,True,SVO
English,272,12,True,SVO
English,285,12,True,SVO
English,292,12,True,SVO
English,293,12,True,SVO
English,296,12,True,VSO
English,297,12,True,VSO
English,301,12,True,SVO
English,303,12,True,SVO
English,306,12,True,SVO
English,308,12,True,SVO
English,311,12,True,VSO
English,314,12,True,VSO
English,316,12,True,VSO
English,321,12,True,SVO
English,324,12,True,VSO
English,329,12,True,SVO
English,333,12,True,SVO
English,335,12,True,SVO
English,337,12,True,SVO
English,338,12,True,SVO
English,340,12,True,SVO
English,341,12,True,SVO
English,347,12,True,SVO
English,350,12,True,SVO
English,354,12,True,SVO
English,356,12,True,SVO
English,357,12,True,SVO
English,358,12,True,SVO
English,359,12,True,SVO
English,360,12,True,SVO
English,364,12,True,SVO
English,365,12,True,SVO
English,366,12,True,SVO
English,367,12,True,SVO
English,368,12,True,SVO
English,375,12,True,VOS
English,378,12,True,SVO
English,379,12,True,SVO
English,381,12,True,SVO
English,382,12,True,SVO
English,383,12,True,SVO
English,384,12,True,SVO
English,385,12,True,SVO
English,387,12,True,SVO
English,401,12,True,VSO
English,402,12,True,SVO
English,405,12,True,SVO
English,409,12,True,SVO
English,410,12,True,SVO
English,412,12,True,SVO
English,419,12,True,SVO
English,422,12,True,SVO
English,425,12,True,SVO
English,427,12,True,SVO
English,433,12,True,SVO
English,435,12,True,SVO
English,437,12,True,SVO
English,443,12,True,SVO
English,444,12,True,SVO
English,447,12,True,VOS
English,454,12,True,SVO
English,455,12,True,SVO
English,458,12,True,SVO
English,464,12,True,VSO
English,465,12,True,SVO
English,467,12,True,SVO
Hindi,26,12,True,SOV
Hindi,36,12,True,SOV
Hindi,49,12,True,SOV
Hindi,86,12,True,SOV
Hindi,88,12,True,SOV
Hindi,100,12,True,SOV
Hindi,113,12,True,VSO
Hindi,120,12,True,SOV
Hindi,140,12,True,SOV
Hindi,184,12,True,SVO
Hindi,204,12,True,SVO
Hindi,253,12,True,VSO
Hindi,302,12,True,SVO
Hindi,310,12,True,SOV
Hindi,371,12,True,OSV
Hindi,405,12,True,SOV
Hindi,470,12,True,SOV
