source_lang,target_lang,length,baseline,only_projective,alpha,beta,temperature,candidates,reps_per_tree,n_trees,n_samples,mean_gen_dl,mean_gen_ic,mean_gen_entropy,js_to_target
English,English,12,projective_like,True,1.0,0.0,1.0,400,1,69,69,18.27536231884058,1.2173913043478262,1.84811679835586,0.04318358934077879
English,Hindi,12,projective_like,True,1.0,0.0,1.0,400,1,69,69,18.27536231884058,1.2173913043478262,1.84811679835586,0.14629971440546874
English,Japanese,12,projective_like,True,1.0,0.0,1.0,400,1,69,69,18.27536231884058,1.2173913043478262,1.84811679835586,0.06806840592097922
English,English,12,projective_like,True,1.0,0.25,1.0,400,1,69,69,18.536231884057973,1.2463768115942029,1.873407433286711,0.05135160096148264
English,Hindi,12,projective_like,True,1.0,0.25,1.0,400,1,69,69,18.536231884057973,1.2463768115942029,1.873407433286711,0.1569974806353775
English,Japanese,12,projective_like,True,1.0,0.25,1.0,400,1,69,69,18.536231884057973,1.2463768115942029,1.873407433286711,0.07197131793494484
English,English,12,projective_like,True,1.0,0.5,1.0,400,1,69,69,18.594202898550726,1.5217391304347827,1.8614367371378542,0.046300649792123526
English,Hindi,12,projective_like,True,1.0,0.5,1.0,400,1,69,69,18.594202898550726,1.5217391304347827,1.8614367371378542,0.14356482590327402
English,Japanese,12,projective_like,True,1.0,0.5,1.0,400,1,69,69,18.594202898550726,1.5217391304347827,1.8614367371378542,0.05750446480743454
English,English,12,projective_like,True,1.0,1.0,1.0,400,1,69,69,18.666666666666668,1.7536231884057971,1.8672171599053973,0.05066821316594216
English,Hindi,12,projective_like,True,1.0,1.0,1.0,400,1,69,69,18.666666666666668,1.7536231884057971,1.8672171599053973,0.13177290399531236
English,Japanese,12,projective_like,True,1.0,1.0,1.0,400,1,69,69,18.666666666666668,1.7536231884057971,1.8672171599053973,0.05663535142613679
English,English,12,projective_like,True,1.0,2.0,1.0,400,1,69,69,18.3768115942029,2.0144927536231885,1.827822956975246,0.05719485379654526
English,Hindi,12,projective_like,True,1.0,2.0,1.0,400,1,69,69,18.3768115942029,2.0144927536231885,1.827822956975246,0.11290074995629479
English,Japanese,12,projective_like,True,1.0,2.0,1.0,400,1,69,69,18.3768115942029,2.0144927536231885,1.827822956975246,0.04847346851990927
English,English,12,projective_like,True,1.0,4.0,1.0,400,1,69,69,19.130434782608695,2.246376811594203,1.836264949004179,0.0717254769651929
English,Hindi,12,projective_like,True,1.0,4.0,1.0,400,1,69,69,19.130434782608695,2.246376811594203,1.836264949004179,0.111496672722057
English,Japanese,12,projective_like,True,1.0,4.0,1.0,400,1,69,69,19.130434782608695,2.246376811594203,1.836264949004179,0.05130767473577356
English,English,12,projective_like,True,1.0,8.0,1.0,400,1,69,69,19.26086956521739,2.4347826086956523,1.7963447158088552,0.07453559870029904
English,Hindi,12,projective_like,True,1.0,8.0,1.0,400,1,69,69,19.26086956521739,2.4347826086956523,1.7963447158088552,0.10188771311606587
English,Japanese,12,projective_like,True,1.0,8.0,1.0,400,1,69,69,19.26086956521739,2.4347826086956523,1.7963447158088552,0.05499904015752177
Hindi,English,12,projective_like,True,1.0,0.0,1.0,400,1,53,53,17.69811320754717,1.471698113207547,1.8241157594612643,0.08384371681918695
Hindi,Hindi,12,projective_like,True,1.0,0.0,1.0,400,1,53,53,17.69811320754717,1.471698113207547,1.8241157594612643,0.130536848188533
Hindi,Japanese,12,projective_like,True,1.0,0.0,1.0,400,1,53,53,17.69811320754717,1.471698113207547,1.8241157594612643,0.0475689271358349
Hindi,English,12,projective_like,True,1.0,0.25,1.0,400,1,53,53,17.92452830188679,1.3396226415094339,1.840186063995584,0.07574590293655979
Hindi,Hindi,12,projective_like,True,1.0,0.25,1.0,400,1,53,53,17.92452830188679,1.3396226415094339,1.840186063995584,0.14558742950844208
Hindi,Japanese,12,projective_like,True,1.0,0.25,1.0,400,1,53,53,17.92452830188679,1.3396226415094339,1.840186063995584,0.042955007190171
Hindi,English,12,projective_like,True,1.0,0.5,1.0,400,1,53,53,17.471698113207548,1.6037735849056605,1.8170674304405017,0.07367408604826221
Hindi,Hindi,12,projective_like,True,1.0,0.5,1.0,400,1,53,53,17.471698113207548,1.6037735849056605,1.8170674304405017,0.13198042155913745
Hindi,Japanese,12,projective_like,True,1.0,0.5,1.0,400,1,53,53,17.471698113207548,1.6037735849056605,1.8170674304405017,0.04507831499996045
Hindi,English,12,projective_like,True,1.0,1.0,1.0,400,1,53,53,17.641509433962263,1.9245283018867925,1.7905757073975843,0.08306814447225637
Hindi,Hindi,12,projective_like,True,1.0,1.0,1.0,400,1,53,53,17.641509433962263,1.9245283018867925,1.7905757073975843,0.10888452640440537
Hindi,Japanese,12,projective_like,True,1.0,1.0,1.0,400,1,53,53,17.641509433962263,1.9245283018867925,1.7905757073975843,0.038703625617850027
Hindi,English,12,projective_like,True,1.0,2.0,1.0,400,1,53,53,17.90566037735849,2.3207547169811322,1.7794404242897486,0.0960586917953394
Hindi,Hindi,12,projective_like,True,1.0,2.0,1.0,400,1,53,53,17.90566037735849,2.3207547169811322,1.7794404242897486,0.11125188167782456
Hindi,Japanese,12,projective_like,True,1.0,2.0,1.0,400,1,53,53,17.90566037735849,2.3207547169811322,1.7794404242897486,0.034047355877557056
Hindi,English,12,projective_like,True,1.0,4.0,1.0,400,1,53,53,18.22641509433962,2.490566037735849,1.7588893268246117,0.1082069252953759
Hindi,Hindi,12,projective_like,True,1.0,4.0,1.0,400,1,53,53,18.22641509433962,2.490566037735849,1.7588893268246117,0.10877772288294436
Hindi,Japanese,12,projective_like,True,1.0,4.0,1.0,400,1,53,53,18.22641509433962,2.490566037735849,1.7588893268246117,0.03956205376871805
Hindi,English,12,projective_like,True,1.0,8.0,1.0,400,1,53,53,18.09433962264151,2.69811320754717,1.7715213446200808,0.10267001995045257
Hindi,Hindi,12,projective_like,True,1.0,8.0,1.0,400,1,53,53,18.09433962264151,2.69811320754717,1.7715213446200808,0.08884404673759198
Hindi,Japanese,12,projective_like,True,1.0,8.0,1.0,400,1,53,53,18.09433962264151,2.69811320754717,1.7715213446200808,0.030967246935338685
Japanese,English,12,projective_like,True,1.0,0.0,1.0,400,1,74,74,17.85135135135135,0.4864864864864865,1.7936609605465055,0.081895853632136
Japanese,Hindi,12,projective_like,True,1.0,0.0,1.0,400,1,74,74,17.85135135135135,0.4864864864864865,1.7936609605465055,0.1583486392370094
Japanese,Japanese,12,projective_like,True,1.0,0.0,1.0,400,1,74,74,17.85135135135135,0.4864864864864865,1.7936609605465055,0.051595306331463454
Japanese,English,12,projective_like,True,1.0,0.25,1.0,400,1,74,74,17.66216216216216,0.6081081081081081,1.8011033304343114,0.08518523634442872
Japanese,Hindi,12,projective_like,True,1.0,0.25,1.0,400,1,74,74,17.66216216216216,0.6081081081081081,1.8011033304343114,0.15867550868816552
Japanese,Japanese,12,projective_like,True,1.0,0.25,1.0,400,1,74,74,17.66216216216216,0.6081081081081081,1.8011033304343114,0.05244366248856381
Japanese,English,12,projective_like,True,1.0,0.5,1.0,400,1,74,74,17.66216216216216,0.5675675675675675,1.803447673652082,0.09112034410342255
Japanese,Hindi,12,projective_like,True,1.0,0.5,1.0,400,1,74,74,17.66216216216216,0.5675675675675675,1.803447673652082,0.14376445511513766
Japanese,Japanese,12,projective_like,True,1.0,0.5,1.0,400,1,74,74,17.66216216216216,0.5675675675675675,1.803447673652082,0.03911897569004109
Japanese,English,12,projective_like,True,1.0,1.0,1.0,400,1,74,74,17.554054054054053,0.7702702702702703,1.8233760472037657,0.077167981417346
Japanese,Hindi,12,projective_like,True,1.0,1.0,1.0,400,1,74,74,17.554054054054053,0.7702702702702703,1.8233760472037657,0.14985538458710415
Japanese,Japanese,12,projective_like,True,1.0,1.0,1.0,400,1,74,74,17.554054054054053,0.7702702702702703,1.8233760472037657,0.03770273934260166
Japanese,English,12,projective_like,True,1.0,2.0,1.0,400,1,74,74,18.04054054054054,0.8918918918918919,1.798861384388703,0.09056158207629872
Japanese,Hindi,12,projective_like,True,1.0,2.0,1.0,400,1,74,74,18.04054054054054,0.8918918918918919,1.798861384388703,0.1631841463584056
Japanese,Japanese,12,projective_like,True,1.0,2.0,1.0,400,1,74,74,18.04054054054054,0.8918918918918919,1.798861384388703,0.05435747058070848
Japanese,English,12,projective_like,True,1.0,4.0,1.0,400,1,74,74,17.85135135135135,0.9864864864864865,1.8111212536762515,0.08484024674506903
