source_lang,target_lang,length,baseline,only_projective,alpha,beta,temperature,candidates,reps_per_tree,n_trees,n_samples,mean_gen_dl,mean_gen_ic,mean_gen_entropy,js_to_target
English,English,12,projective_like,False,1.0,0.0,1.0,800,2,50,100,18.6,1.25,1.8603761520486912,0.049860828417911555
English,Hindi,12,projective_like,False,1.0,0.0,1.0,800,2,50,100,18.6,1.25,1.8603761520486912,0.1535273272341948
English,Japanese,12,projective_like,False,1.0,0.0,1.0,800,2,50,100,18.6,1.25,1.8603761520486912,0.0543950759979378
English,English,12,projective_like,False,1.0,0.05,1.0,800,2,50,100,18.57,1.12,1.8553819426391567,0.05291290097348587
English,Hindi,12,projective_like,False,1.0,0.05,1.0,800,2,50,100,18.57,1.12,1.8553819426391567,0.15286682248888764
English,Japanese,12,projective_like,False,1.0,0.05,1.0,800,2,50,100,18.57,1.12,1.8553819426391567,0.058860317392251886
English,English,12,projective_like,False,1.0,0.1,1.0,800,2,50,100,18.37,1.32,1.8592213397026274,0.047642238090456694
English,Hindi,12,projective_like,False,1.0,0.1,1.0,800,2,50,100,18.37,1.32,1.8592213397026274,0.14030805660736442
English,Japanese,12,projective_like,False,1.0,0.1,1.0,800,2,50,100,18.37,1.32,1.8592213397026274,0.04944129397544448
English,English,12,projective_like,False,1.0,0.2,1.0,800,2,50,100,18.69,1.42,1.846552251399534,0.05126968611990771
English,Hindi,12,projective_like,False,1.0,0.2,1.0,800,2,50,100,18.69,1.42,1.846552251399534,0.14095761718967834
English,Japanese,12,projective_like,False,1.0,0.2,1.0,800,2,50,100,18.69,1.42,1.846552251399534,0.05106259490932499
English,English,12,projective_like,False,1.0,0.35,1.0,800,2,50,100,18.49,1.43,1.860974185384582,0.049542619404585854
English,Hindi,12,projective_like,False,1.0,0.35,1.0,800,2,50,100,18.49,1.43,1.860974185384582,0.14297008642618578
English,Japanese,12,projective_like,False,1.0,0.35,1.0,800,2,50,100,18.49,1.43,1.860974185384582,0.050491398747136124
English,English,12,projective_like,False,1.0,0.5,1.0,800,2,50,100,18.38,1.51,1.8497520783722183,0.055271963707094605
English,Hindi,12,projective_like,False,1.0,0.5,1.0,800,2,50,100,18.38,1.51,1.8497520783722183,0.1357987119889936
English,Japanese,12,projective_like,False,1.0,0.5,1.0,800,2,50,100,18.38,1.51,1.8497520783722183,0.04739515229691362
English,English,12,projective_like,False,1.0,0.75,1.0,800,2,50,100,18.32,1.69,1.8544175379775494,0.05293675361548275
English,Hindi,12,projective_like,False,1.0,0.75,1.0,800,2,50,100,18.32,1.69,1.8544175379775494,0.1371681425607071
English,Japanese,12,projective_like,False,1.0,0.75,1.0,800,2,50,100,18.32,1.69,1.8544175379775494,0.0488448433922208
English,English,12,projective_like,False,1.0,1.0,1.0,800,2,50,100,18.48,1.67,1.861410489198468,0.06043633522141678
English,Hindi,12,projective_like,False,1.0,1.0,1.0,800,2,50,100,18.48,1.67,1.861410489198468,0.13511012616026744
English,Japanese,12,projective_like,False,1.0,1.0,1.0,800,2,50,100,18.48,1.67,1.861410489198468,0.04866733507790832
English,English,12,projective_like,False,1.0,1.25,1.0,800,2,50,100,18.44,1.84,1.858252108668295,0.05047493710997783
English,Hindi,12,projective_like,False,1.0,1.25,1.0,800,2,50,100,18.44,1.84,1.858252108668295,0.13493126264364677
English,Japanese,12,projective_like,False,1.0,1.25,1.0,800,2,50,100,18.44,1.84,1.858252108668295,0.04887218213580308
English,English,12,projective_like,False,1.0,1.5,1.0,800,2,50,100,18.71,1.95,1.858898450184378,0.05924320096953242
English,Hindi,12,projective_like,False,1.0,1.5,1.0,800,2,50,100,18.71,1.95,1.858898450184378,0.13208870347057675
English,Japanese,12,projective_like,False,1.0,1.5,1.0,800,2,50,100,18.71,1.95,1.858898450184378,0.04638048100589093
English,English,12,projective_like,False,1.0,2.0,1.0,800,2,50,100,18.62,1.99,1.8478442725694768,0.059556603965609016
English,Hindi,12,projective_like,False,1.0,2.0,1.0,800,2,50,100,18.62,1.99,1.8478442725694768,0.11874380403349627
English,Japanese,12,projective_like,False,1.0,2.0,1.0,800,2,50,100,18.62,1.99,1.8478442725694768,0.04116022947293402
English,English,12,projective_like,False,1.0,4.0,1.0,800,2,50,100,18.77,2.27,1.8358634464856227,0.06472725708606816
English,Hindi,12,projective_like,False,1.0,4.0,1.0,800,2,50,100,18.77,2.27,1.8358634464856227,0.11148511854178199
English,Japanese,12,projective_like,False,1.0,4.0,1.0,800,2,50,100,18.77,2.27,1.8358634464856227,0.040829822225793615
English,English,12,projective_like,False,1.0,6.0,1.0,800,2,50,100,19.17,2.43,1.8169896583954035,0.07318863849000976
English,Hindi,12,projective_like,False,1.0,6.0,1.0,800,2,50,100,19.17,2.43,1.8169896583954035,0.1042697629469821
English,Japanese,12,projective_like,False,1.0,6.0,1.0,800,2,50,100,19.17,2.43,1.8169896583954035,0.04613914630030023
English,English,12,projective_like,False,1.0,8.0,1.0,800,2,50,100,19.16,2.45,1.7960485013882712,0.07022260073979585
