source_lang,beta,n_orders,mean_dl,mean_verb_cues,head_final_rate,verb_final_rate,mean_verb_pos,js_to_English,js_to_Hindi,js_to_Japanese
English,0.1,142,18.253521126760564,3.035211267605634,0.5160051216389244,0.026119402985074626,5.755845771144278,0.049150586131594245,0.13392134766632116,0.050932700778874136
English,4.0,142,19.704225352112676,4.964788732394366,0.7227912932138284,0.14228855721393033,6.715920398009951,0.06492027676023891,0.13592169167707635,0.0550001467771778
English,8.0,142,21.302816901408452,5.450704225352113,0.7932138284250959,0.2527363184079602,7.216293532338308,0.0772119014346507,0.14786476709568222,0.0636184616700686
English,10.0,142,22.37323943661972,5.570422535211268,0.8040973111395646,0.344776119402985,7.7315920398009945,0.09094210251408705,0.16193340609580842,0.07820655850428146
Hindi,0.1,96,17.677083333333332,2.9895833333333335,0.5170454545454545,0.01736111111111111,5.473958333333333,0.05367574984236889,0.13756421948044245,0.03590393974841116
Hindi,4.0,96,18.791666666666668,4.65625,0.7414772727272728,0.1501736111111111,7.417534722222222,0.09461775976465725,0.11318821968528225,0.03415833035672524
Hindi,8.0,96,21.53125,5.239583333333333,0.768939393939394,0.3046875,8.078993055555555,0.11568945799454557,0.13601111300850421,0.055172867768365635
Hindi,10.0,96,22.614583333333332,5.4375,0.7954545454545455,0.41059027777777773,8.540798611111112,0.12843013062753722,0.140575311267711,0.06870942863006624
Japanese,0.1,140,17.414285714285715,1.6214285714285714,0.5272727272727273,0.06652046783625731,5.894298245614036,0.08056358777739937,0.14823092594534681,0.03799313283646193
Japanese,4.0,140,18.22142857142857,2.807142857142857,0.6954545454545455,0.09269005847953216,6.099415204678362,0.08255093977832054,0.1482481348141213,0.03789949504095949
Japanese,8.0,140,18.821428571428573,2.9642857142857144,0.6863636363636364,0.1583333333333333,6.427777777777778,0.0889395293755813,0.15064152564553224,0.04081564758041878
Japanese,10.0,140,19.12142857142857,3.0214285714285714,0.6902597402597402,0.1763157894736842,6.77763157894737,0.08911322677592436,0.1440204218574594,0.03853201699152203
