length,pair,value
3,en-hi,0.8651266050161193
3,en-ja,0.5509106906161778
3,hi-ja,1.0
4,en-hi,0.5671990879951387
4,en-ja,1.0
4,hi-ja,1.0
5,en-hi,0.8956912553528595
5,en-ja,0.8852805398266625
5,hi-ja,0.9999999999999998
6,en-hi,0.8005382032031259
6,en-ja,0.9564491290317294
6,hi-ja,0.9107502730851876
7,en-hi,0.8245674460949974
7,en-ja,0.9480776677946001
7,hi-ja,0.9014260990152696
8,en-hi,0.8691668240740734
8,en-ja,0.967624488265821
8,hi-ja,0.9236951608388695
9,en-hi,0.9435837560967135
9,en-ja,0.9932733001050961
9,hi-ja,0.9481460360722741
10,en-hi,0.9829684003396031
10,en-ja,0.9942628676461689
10,hi-ja,0.9708029815821493
11,en-hi,0.9917091969539537
11,en-ja,0.9979406293579585
11,hi-ja,0.980875511413734
12,en-hi,0.9981762275682993
12,en-ja,0.997653117350983
12,hi-ja,0.993073215508127
13,en-hi,0.9997439312503316
13,en-ja,0.9999523809527452
13,hi-ja,0.997871807667378
14,en-hi,1.0000000000003597
14,en-ja,1.000000000000341
14,hi-ja,0.999371922945444
15,en-hi,1.0000000000005818
15,en-ja,1.000000000000567
15,hi-ja,0.9998929079396992
