length,pair,value
3,en-hi,0.9999999999999998
3,en-ja,0.7063708059421817
3,hi-ja,0.9999999999999999
4,en-hi,1.0
4,en-ja,1.0
4,hi-ja,1.0
5,en-hi,0.9523809523809527
5,en-ja,1.0000000000000004
5,hi-ja,1.0000000000000004
6,en-hi,0.9448576777214714
6,en-ja,0.9999999999999989
6,hi-ja,0.9310885869251662
7,en-hi,0.987179487179485
7,en-ja,0.9999999999999976
7,hi-ja,0.9363003109585644
8,en-hi,0.9952606635071133
8,en-ja,1.0000000000000042
8,hi-ja,0.9647991635728159
9,en-hi,0.9967426710097723
9,en-ja,1.0000000000000002
9,hi-ja,0.9845117670939305
10,en-hi,0.999999999999996
10,en-ja,0.999999999999996
10,hi-ja,0.9784172661870465
11,en-hi,0.9999999999999896
11,en-ja,0.9999999999999898
11,hi-ja,0.9910481722881666
12,en-hi,0.9999999999999951
12,en-ja,0.9999999999999952
12,hi-ja,0.9999999999999951
13,en-hi,0.9999999999999971
13,en-ja,0.9999999999999971
13,hi-ja,0.9999999999999971
14,en-hi,0.9999999999999911
14,en-ja,0.9999999999999913
14,hi-ja,0.9999999999999911
15,en-hi,0.9999999999999929
15,en-ja,0.9999999999999929
15,hi-ja,0.9977477477477404
