length,lang,n_sentences,uniq_surface,uniq_linear,surface_H,linear_H
3,en,22,17,23,3.8408115970719865,4.111167747365776
3,hi,22,1,1,0.0,0.0
3,ja,22,13,17,3.4594316186372964,3.453043134525747
4,en,5,5,17,2.321928094887362,3.8728727529636466
4,hi,5,4,10,1.9219280948873623,3.1794573425948074
4,ja,5,5,12,2.321928094887362,3.1224097595370774
5,en,21,19,116,4.165894208390023,6.088336880474914
5,hi,21,17,73,4.011365041826378,5.780289350751283
5,ja,21,21,81,4.39231742277876,5.875822525492346
6,en,69,65,750,5.992582427792656,8.899023808182253
6,hi,69,58,542,5.708384739757342,8.454734423068016
6,ja,69,60,434,5.773460464332313,7.728350973121538
7,en,156,146,2490,7.147519045757605,10.594604961162084
7,hi,156,138,2037,7.041812475272519,10.381368003653991
7,ja,156,139,1802,7.024152940002241,9.934953398515049
8,en,211,194,5015,7.552806416174855,11.76438995972792
8,hi,211,197,4539,7.57766476924517,11.633528152049363
8,ja,211,196,3683,7.546905409076103,11.031765529418278
9,en,307,290,9894,8.146427825812074,12.938451241148199
9,hi,307,298,8968,8.201004006600881,12.76053213736377
9,ja,307,290,6849,8.133398509851158,12.087051764539485
10,en,417,402,16092,8.628340563841927,13.7528530738415
10,hi,417,410,14797,8.670330431957822,13.59831564288033
10,ja,417,388,12089,8.518864581936878,13.060242411626975
11,en,489,482,20762,8.905060798101497,14.19954004790134
11,hi,489,483,19588,8.9091507776516,14.066941142882802
11,ja,489,471,16729,8.85268934518854,13.663379539777207
12,en,475,467,21436,8.858099492691926,14.285227729124237
12,hi,475,471,20927,8.873352361108422,14.259264787203884
12,ja,475,466,18204,8.832836334797186,13.877529430968515
13,en,420,402,19724,8.578484684312192,14.20743639347481
13,hi,420,418,19484,8.704721708142326,14.197255015245306
13,ja,420,409,17827,8.650543404565745,13.960917404503004
14,en,438,417,21249,8.614837615740523,14.348249403117483
14,hi,438,438,20782,8.77478705960118,14.301567173097673
14,ja,438,433,19145,8.751956009372872,14.085618255561359
15,en,444,433,21754,8.74316611972363,14.392410358527199
15,hi,444,443,21493,8.789911361845622,14.366776416827905
15,ja,444,444,20434,8.794415866350127,14.234231422698638
