length,pair,avg_pos_kl,per_pos
3,en->hi,24.508967266810732,"[32.349930999130216, 20.641280410324683, 20.535690390977297]"
3,en->ja,4.953649419175579,"[8.469552820526083, 3.34750437940383, 3.0438910575968245]"
3,hi->ja,13.872061629263534,"[39.86313713864835, 0.799507060234919, 0.95354068890734]"
4,en->hi,0.31318183051473464,"[0.7509775004326935, 0.20481121193808138, 0.008072744557249507, 0.28886586513091417]"
4,en->ja,13.443787903767497,"[23.875702926689286, 14.416904581549119, 9.288892195625127, 6.1936519112064605]"
4,hi->ja,17.260465733971664,"[30.83296723500879, 18.80492339046546, 9.753031810107053, 9.650940500305342]"
5,en->hi,4.592629479936404,"[15.802646796309961, 2.662635660115034, 1.273990251160154, 1.5551452524048024, 1.6687294396920715]"
5,en->ja,4.041593430100361,"[5.322713672581384, 2.7939059974038454, 2.551433075640526, 3.982888784307611, 5.557025620568442]"
5,hi->ja,5.768258247140784,"[20.74297241053514, 0.37017487445889724, 1.1875334162085966, 2.659642395231631, 3.8809681392696587]"
6,en->hi,1.5548025182707077,"[2.7969842562846354, 1.1852632886808294, 1.1933704322343408, 1.2090621817584353, 1.4592755822353598, 1.4848593684306455]"
6,en->ja,2.881396001047277,"[0.6085366136659728, 0.5462064505032724, 1.56339170727469, 2.760769488858639, 4.713469680989908, 7.096002064991182]"
6,hi->ja,1.7131082658503356,"[1.4406235611441935, 0.5176220443275615, 0.8367013035494593, 1.1179620205737522, 2.0276205705125996, 4.338120094994448]"
7,en->hi,1.7706517513050726,"[7.016153966260765, 0.5921216076015933, 0.7275717214917912, 0.8934293919632545, 1.1528547140495733, 0.9241471754443633, 1.0882836823241695]"
7,en->ja,1.4239128180849183,"[1.0966606120931506, 1.0622087050029716, 1.634303719917394, 0.9667484888237321, 1.01388153884266, 0.9690026450969407, 3.2245840168175794]"
7,hi->ja,0.646529301998117,"[1.794662445797233, 0.2614593630127412, 0.5845254219542418, 0.24919344027744222, 0.28213086953280453, 0.2555273833761458, 1.0982061900362106]"
8,en->hi,1.227687964610458,"[6.077703835259901, 0.35162090529689766, 0.3439616772764569, 0.3236093095400374, 0.7560556762022812, 0.6828103543618675, 0.7958290392753952, 0.48991291967082706]"
8,en->ja,0.9396501422674133,"[0.7755825125274245, 0.6716065440985411, 1.2967834583872142, 0.6486619523929607, 0.6390549183681005, 0.6830994118203374, 0.7880085585672914, 2.0144037819774367]"
8,hi->ja,0.5395794334556674,"[1.1400215959485152, 0.26825961938337345, 0.6435303837289919, 0.2913322050745726, 0.3192006322349018, 0.3250445208333201, 0.3944691181430501, 0.9347773922986148]"
9,en->hi,0.9809867069355008,"[4.022468627592288, 0.4789759076744303, 0.5116553338435581, 0.3731253735732466, 0.35286827975401575, 1.3324673419123876, 0.7240295690114392, 0.6151776545696184, 0.41811227448852584]"
9,en->ja,0.9399436223008778,"[1.3319585171690285, 0.6888832797204436, 0.6263277117199324, 0.5702646526345869, 0.6795477110489088, 0.8940135075093919, 0.8512081085276235, 1.0019856952899318, 1.8153034170880527]"
9,hi->ja,0.504315123919517,"[1.4730718008115435, 0.28954201332696056, 0.26794837368852675, 0.2651252725012448, 0.3052227246949215, 0.40205444245403216, 0.3906560612249488, 0.4385073809975538, 0.7067080455759212]"
10,en->hi,0.7808794120138806,"[3.8141187260693825, 0.46722078802005934, 0.40882974429832347, 0.36235551741298927, 0.3189182605378123, 0.39049500779455615, 0.5862638421193603, 0.49142464097009536, 0.42863264774234117, 0.5405349451738848]"
10,en->ja,0.7894181675828513,"[0.993278365991377, 0.7106749425852339, 0.4798273509776461, 0.5606781004182095, 0.6258145124099368, 0.5047621522239598, 0.5599858637347996, 0.6390449779569696, 1.0025047089554084, 1.8176107005749735]"
10,hi->ja,0.3565551117307371,"[1.2531155326491032, 0.1386377464354015, 0.16495793187393987, 0.23561853387882864, 0.2551326195360417, 0.18735240985818857, 0.2028487022687608, 0.24925659387293675, 0.2787009150680484, 0.5999301318661214]"
11,en->hi,0.5452162445997434,"[2.2404818491433995, 0.37768499721613075, 0.3255237394504027, 0.31547785717029764, 0.3433213339823671, 0.3605658856171002, 0.3596488524553109, 0.366732316406771, 0.5333471770635821, 0.4275532329359512, 0.3470414491558634]"
11,en->ja,0.7068776050723955,"[1.0009635111231387, 0.40373511928213857, 0.4552664455342297, 0.49183177180762194, 0.5268254506129657, 0.5016401326650806, 0.530570918360232, 0.5810611980212647, 0.6295808676916431, 0.8941962830338285, 1.7599819576642086]"
11,hi->ja,0.3171979244054286,"[1.0854223029124084, 0.09994477461881293, 0.12301159736365071, 0.14458177529710028, 0.14837166438828447, 0.16793980450441548, 0.1988733530586447, 0.21733631017852875, 0.2683189069945493, 0.3156083430150611, 0.7197683361282591]"
12,en->hi,0.5176230890428974,"[2.7713484179082375, 0.350699040569615, 0.29169045160076895, 0.278669748470562, 0.2823396200968607, 0.30211899896966354, 0.26036329793207696, 0.280029071371085, 0.2614864010576432, 0.44691966575448727, 0.34374222626311435, 0.342070128520654]"
12,en->ja,0.6085901128682978,"[0.8542476262943083, 0.2200359185299685, 0.31074044258432393, 0.44431890684674213, 0.4535208173064785, 0.4751050063428132, 0.6073909324296558, 0.5942286541775401, 0.6085801197803054, 0.6053697603912076, 0.6408264251995976, 1.4887167445366323]"
12,hi->ja,0.28831143356265554,"[1.0442590272790513, 0.11660781060406093, 0.11959168219548687, 0.17167621300931188, 0.14967882096122284, 0.16580225953986738, 0.2119081414939218, 0.2148727817208732, 0.23762392849398112, 0.23761945201391027, 0.2412047379580603, 0.5488923474821188]"
13,en->hi,0.3974816246566522,"[1.1820412754024285, 0.32381771422688727, 0.3765971061679457, 0.28382838319160175, 0.3130328812686793, 0.30059962271177154, 0.22561666608426742, 0.26964438996493967, 0.2505372934135228, 0.4908042105722796, 0.3352866324307575, 0.5249259186297317, 0.29052902647166484]"
13,en->ja,0.6138875855124023,"[0.7135210940179689, 0.36253860651562386, 0.3591427242497355, 0.3652803730590374, 0.3801367049796871, 0.429659088844792, 0.466355601871855, 0.5532694040865381, 0.60851275556641, 0.6898305172980488, 0.7154111195874926, 0.8170729915782574, 1.5198076300057848]"
13,hi->ja,0.2700017303579304,"[0.8699033353400756, 0.11752891717758614, 0.11902862322511823, 0.11173984507855336, 0.11486642825573684, 0.15196408564043629, 0.165838794050637, 0.18005585026405102, 0.21533126871318867, 0.25217761495830954, 0.28505116890709603, 0.2729331242290406, 0.6536034388132661]"
