length,pair,avg_pos_kl,per_pos
3,en->hi,28.082982258390782,"[26.68576257243669, 35.988520011581606, 21.57466419115404]"
3,en->ja,6.037077603571601,"[3.555597538439276, 6.697249129628811, 7.858386142646716]"
3,hi->ja,13.91987752096483,"[1.1375035237499351, 39.86313713864835, 0.7589919004962051]"
4,en->hi,2.139316077079876,"[0.4830074998557688, 0.16601499971153758, 0.4, 7.508241808752198]"
4,en->ja,13.589423165316346,"[14.982498617215933, 15.499491117360165, 23.875702926689286, 0.0]"
4,hi->ja,17.29828094494485,"[7.542226809040661, 23.158710426545056, 30.983944735441483, 7.508241808752198]"
5,en->hi,6.2193485129808845,"[17.36813891596171, 0.051562655286796336, 3.546236402129523, 9.879318878339582, 0.25148571318680957]"
5,en->ja,5.350430041791449,"[9.68461041218324, 1.7271019802576613, 4.410801662494017, 9.166094985575578, 1.763541168446747]"
5,hi->ja,6.5222794429368935,"[4.282935211035198, 3.3815852071658585, 0.8477856058576115, 20.4521854949542, 3.646905695671596]"
6,en->hi,2.1936871686585513,"[4.681220146780658, 0.7592306056133158, 1.1668430623384203, 2.159876027013986, 2.974437194452581, 1.4205159757523478]"
6,en->ja,3.060790827750987,"[6.206185192660546, 0.7096124430609139, 5.157553039639024, 4.3407148184155995, 1.1017402777166794, 0.848939195013162]"
6,hi->ja,1.709559671599866,"[3.4546434069487155, 1.9587549210448203, 2.070888071593825, 1.051242812676672, 1.161209141754121, 0.5606196755810435]"
7,en->hi,2.2760033952990164,"[4.830911099681493, 0.6762082692676229, 0.684495198849758, 2.1503284760812065, 1.9397054341467754, 3.305331824517938, 2.34504346454832]"
7,en->ja,2.728490919467742,"[0.9552609355396933, 1.0355134774982009, 3.8616765571370046, 4.353759677567316, 6.684034978174447, 1.33215779703041, 0.8770330133271202]"
7,hi->ja,0.9386036468579252,"[0.4676590833699098, 0.4977051073098091, 1.9180237311391721, 0.9879307737059704, 0.4476714818364767, 1.7426078620101928, 0.5086274886339454]"
8,en->hi,3.8496285098077125,"[5.810906579742642, 1.2816549877029917, 0.7358466251692086, 0.33641674493545526, 0.4739873607949235, 1.769339608131835, 18.502280807695758, 1.8865953642888853]"
8,en->ja,2.9288095262647174,"[1.2050308206993614, 3.3926006563924407, 4.30809252821776, 4.276239079928352, 3.8353433129159775, 5.382500011947171, 0.7707252054990267, 0.2599445945176492]"
8,hi->ja,1.197839698014826,"[0.6808610709711725, 2.2312097371478012, 1.5770032310457651, 1.3601059877288637, 1.6453516644979165, 0.519480340344995, 1.0735614585739033, 0.49514409380818986]"
9,en->hi,2.5703910986001985,"[1.9072067914061492, 0.9942856200571019, 1.0386366653200276, 0.7559968091952541, 1.592123770852623, 0.9550375062836081, 4.155419571780752, 9.76663650057191, 1.968176651934362]"
9,en->ja,2.846453150478387,"[0.7954923623562127, 2.462747399032595, 1.487233285265802, 4.176334501047976, 3.5664861324508217, 5.077060310364255, 7.390665163575033, 0.4502850804090135, 0.21177411980377572]"
9,hi->ja,1.1018879813337965,"[0.47493685372454725, 1.3491424835992891, 0.5633443278575794, 2.0726086346142454, 1.4080242675954517, 1.8191936651476093, 0.5666058214860118, 1.2212198950244417, 0.44191588295499173]"
10,en->hi,3.7582178814835587,"[2.1758086518780932, 0.5426606834727344, 0.6771702083168852, 0.7462498273797077, 0.35554648949027573, 0.8852905700672894, 0.6553690191931046, 3.5400487656532933, 25.955914150873344, 2.0481204485108546]"
10,en->ja,2.2372750861862682,"[0.8086934270896633, 2.18683940843292, 0.9611304757643085, 0.9510375826698677, 3.7769418906140033, 4.655286077080773, 5.036537555643492, 3.233031759751763, 0.6259699449738986, 0.13728273984199477]"
