language,length,only_projective,n_used_after_filters,n_kept_with_S_and_O,pattern,count,rate
English,12,True,200,59,SOV,0,0.0
English,12,True,200,59,SVO,53,0.8983050847457628
English,12,True,200,59,VSO,6,0.1016949152542373
English,12,True,200,59,VOS,0,0.0
English,12,True,200,59,OSV,0,0.0
English,12,True,200,59,OVS,0,0.0
Hindi,12,True,200,10,SOV,8,0.8
Hindi,12,True,200,10,SVO,1,0.1
Hindi,12,True,200,10,VSO,1,0.1
Hindi,12,True,200,10,VOS,0,0.0
Hindi,12,True,200,10,OSV,0,0.0
Hindi,12,True,200,10,OVS,0,0.0
Japanese,12,True,200,0,SOV,0,nan
Japanese,12,True,200,0,SVO,0,nan
Japanese,12,True,200,0,VSO,0,nan
Japanese,12,True,200,0,VOS,0,nan
Japanese,12,True,200,0,OSV,0,nan
Japanese,12,True,200,0,OVS,0,nan
